QV_CURVE_Q4-AS,Inverter.VArModCfg.VArCtlVolCfg.Crv.Yval[3],Inverter.VArModCfg.VArCtlVolCfg.Crv.Yval[3],"Q(V), reactive power value [D]	","Q(V), reactive power value [D]	",QV_CURVE_Q4-SS*100
QV_OLRT-AS,Inverter.VArModCfg.VArCtlVolCfg.Dyn.VArTmsPrc,Inverter.VArModCfg.VArCtlVolCfg.Dyn.VArTmsPrc,"Q(V), response time for setpoint filter	","Q(V), response time for setpoint filter	",QV_OLRT-SS*1.30435
QP_MODE_ENABLE-AS,Inverter.VArModCfg.VArModOut,Inverter.VArModCfg.VArModOut,"Reactive power mode in case of active power output	","Reactive power mode in case of active power output	","IF(Inverter.VArModCfg.VArModOut=""Q(P) characteristic curve"",""ENABLED"",""DISABLED"")"
QP_CURVE_P3_GEN-AS,Inverter.VArModCfg.VArCtlWCfg.Crv.Xval[2],Inverter.VArModCfg.VArCtlWCfg.Crv.Xval[2],"Q(P), active power value [B]	","Q(P), active power value [B]	",QP_CURVE_P3_GEN-SS*100
QP_CURVE_P2_GEN-AS,Inverter.VArModCfg.VArCtlWCfg.Crv.Xval[1],Inverter.VArModCfg.VArCtlWCfg.Crv.Xval[1],"Q(P), active power value [B]	","Q(P), active power value [B]	",QP_CURVE_P2_GEN-SS*100
QP_CURVE_P1_GEN-AS,Inverter.VArModCfg.VArCtlWCfg.Crv.Xval[0],Inverter.VArModCfg.VArCtlWCfg.Crv.Xval[0],"Q(P), active power value [A]	","Q(P), active power value [A]	",QP_CURVE_P1_GEN-SS*100
QP_CURVE_P1_LOAD-AS,Inverter.VArModCfg.VArCtlWCfg.Crv.XVal[2],N/A,N/A,N/A,QP_CURVE_P1_LOAD-SS * 100
QP_CURVE_P2_LOAD-AS,Inverter.VArModCfg.VArCtlWCfg.Crv.XVal[1],N/A,N/A,N/A,QP_CURVE_P2_LOAD-SS * 100
QP_CURVE_P3_LOAD-AS,Inverter.VArModCfg.VArCtlWCfg.Crv.XVal[0],N/A,N/A,N/A,QP_CURVE_P3_LOAD-SS * 100
QP_CURVE_Q3_GEN-AS,Inverter.VArModCfg.VArCtlWCfg.Crv.Yval[2],Inverter.VArModCfg.VArCtlWCfg.Crv.Yval[2],"Q(P), reactive power value [C]	","Q(P), reactive power value [C]	",QP_CURVE_Q3_GEN-SS * 100
QP_CURVE_Q2_GEN-AS,Inverter.VArModCfg.VArCtlWCfg.Crv.Yval[1],Inverter.VArModCfg.VArCtlWCfg.Crv.Yval[1],"Q(P), reactive power value [B]	","Q(P), reactive power value [B]	",QP_CURVE_Q2_GEN-SS * 100
QP_CURVE_Q1_GEN-AS,Inverter.VArModCfg.VArCtlWCfg.Crv.Yval[0],Inverter.VArModCfg.VArCtlWCfg.Crv.Yval[0],"Q(P), reactive power value [A]	","Q(P), reactive power value [A]	",QP_CURVE_Q1_GEN-SS * 100
QP_OLRT-SS-AS,Inverter.VArModCfg.VArCtlWCfg.Dyn.VArTms,Inverter.VArModCfg.VArCtlWCfg.Dyn.VArTms,"Q(P), setting time, nominal value filter	","Q(P), setting time, nominal value filter	",QP_OLRT-SS * 1.30435
QP_CURVE_Q1_LOAD-AS,Inverter.VArModCfg.VArCtlWCfg.Crv.YVal[2],N/A,N/A,N/A,"scaleVArSettingOnImport(QP_CURVE_P1_LOAD-SS, QP_CURVE_Q1_LOAD-SS)"
QP_CURVE_Q2_LOAD-AS,Inverter.VArModCfg.VArCtlWCfg.Crv.YVal[1],N/A,N/A,N/A,"scaleVArSettingOnImport(QP_CURVE_P2_LOAD-SS, QP_CURVE_Q2_LOAD-SS)"
QP_CURVE_Q3_LOAD-AS,Inverter.VArModCfg.VArCtlWCfg.Crv.YVal[0],N/A,N/A,N/A,"scaleVArSettingOnImport(QP_CURVE_P3_LOAD-SS, QP_CURVE_Q3_LOAD-SS)"
PV_MODE_ENABLE-AS,,,,,"If(Inverter.VArModCfg.VArModOut='Q(P) characteristic curve','ENABLED','DISABLED')"
PV_CURVE_V1-AS,Inverter.WModCfg.WCtlVolCfg.Crv.Xval[0],Inverter.WModCfg.WCtlVolCfg.Crv.Xval[0],"P(V), voltage value [A]	","P(V), voltage value [A]	",PV_CURVE_V1-SS
PV_CURVE_P1-AS,Inverter.WModCfg.WCtlVolCfg.Crv.Yval[0],Inverter.WModCfg.WCtlVolCfg.Crv.Yval[0],"P(V), active power value [A]	","P(V), active power value [A]	",PV_CURVE_P1-SS * 100
PV_CURVE_V2-AS,Inverter.WModCfg.WCtlVolCfg.Crv.Xval[1],Inverter.WModCfg.WCtlVolCfg.Crv.Xval[1],"P(V), voltage value [B]	","P(V), voltage value [B]	",PV_CURVE_V2-SS
PV_CURVE_P2-AS,Inverter.WModCfg.WCtlVolCfg.Crv.Yval[1],Inverter.WModCfg.WCtlVolCfg.Crv.Yval[1],"P(V), active power value [B]	","P(V), active power value [B]	",PV_CURVE_P2-SS * 100
PV_OLRT-AS,Inverter.WModCfg.WCtlVolCfg.WTms,Inverter.WModCfg.WCtlVolCfg.WTms,"P(V), setting time, nominal value filter	","P(V), setting time, nominal value filter	","If(Inverter.WModCfg.WCtlVolCfg.WTmEna='On',PV_OLRT-SS * 1.30435,0)"
OV2_TRIP_V-AS,GridGuard.Cntry.VolCtl.MaxPu,GridGuard.Cntry.VolCtl.MaxPu,"Voltage monitoring, upper maximum threshold","Voltage monitoring, upper maximum threshold",OV2_TRIP_V-SS
OV2_TRIP_T-AS,GridGuard.Cntry.VolCtl.MaxPuTmms,GridGuard.Cntry.VolCtl.MaxPuTmms,"Voltage monitoring, upper max. threshold trip. time","Voltage monitoring, upper max. threshold trip. time",OV2_TRIP_T-SS * 1000
OV1_TRIP_V-AS,GridGuard.Cntry.VolCtl.hhLimPu,GridGuard.Cntry.VolCtl.hhLimPu,"Voltage monitoring, median maximum threshold	","Voltage monitoring, median maximum threshold	",OV1_TRIP_V-SS
OV1_TRIP_T-AS,GridGuard.Cntry.VolCtl.hhLimTmms,GridGuard.Cntry.VolCtl.hhLimTmms,"Voltage monitoring, median max. threshold trip.time","Voltage monitoring, median max. threshold trip.time",OV1_TRIP_T-SS * 1000
UV1_TRIP_V-AS,GridGuard.Cntry.VolCtl.llLimPu,GridGuard.Cntry.VolCtl.llLimPu,"Voltage monitoring, median minimum threshold","Voltage monitoring, median minimum threshold",UV1_TRIP_V-SS
UV1_TRIP_T-AS,GridGuard.Cntry.VolCtl.llLimTmms,GridGuard.Cntry.VolCtl.llLimTmms,"Voltage monitoring, median min. threshold trip.time	","Voltage monitoring, median min. threshold trip.time	",UV1_TRIP_T-SS * 1000
UV2_TRIP_V-AS,GridGuard.Cntry.VolCtl.MinPu,GridGuard.Cntry.VolCtl.MinPu,"Voltage monitoring, lower minimum threshold","Voltage monitoring, lower minimum threshold",UV2_TRIP_V-SS
UV2_TRIP_T-AS,GridGuard.Cntry.VolCtl.MinTmms,GridGuard.Cntry.VolCtl.MinTmms,"Voltage monitoring, lower min. threshold trip. time","Voltage monitoring, lower min. threshold trip. time",UV2_TRIP_T-SS * 1000
OF2_TRIP_F-AS,GridGuard.Cntry.FrqCtl.Max,GridGuard.Cntry.FrqCtl.Max,"Frequency monitoring upper maximum threshold	","Frequency monitoring upper maximum threshold	",OF2_TRIP_F-SS
OF2_TRIP_T-AS,GridGuard.Cntry.FrqCtl.MaxTmms,GridGuard.Cntry.FrqCtl.MaxTmms,Frequency monitoring upper max. threshold trip. time,Frequency monitoring upper max. threshold trip. time,OF2_TRIP_T-SS * 1000
OF1_TRIP_F-AS,GridGuard.Cntry.FrqCtl.hLim,GridGuard.Cntry.FrqCtl.hLim,"Frequency monitoring, lower maximum threshold","Frequency monitoring, lower maximum threshold",OF1_TRIP_F-SS
OF1_TRIP_T-AS,GridGuard.Cntry.FrqCtl.hLimTmms,GridGuard.Cntry.FrqCtl.hLimTmms,"Frequency monitoring, lower max. threshold trip. time","Frequency monitoring, lower max. threshold trip. time",OF1_TRIP_T-SS * 1000
UF1_TRIP_F-AS,GridGuard.Cntry.FrqCtl.lLim,GridGuard.Cntry.FrqCtl.lLim,Frequency monitoring upper minimum threshold,Frequency monitoring upper minimum threshold,UF1_TRIP_F-SS
UF1_TRIP_T-AS,GridGuard.Cntry.FrqCtl.lLimTmms,GridGuard.Cntry.FrqCtl.lLimTmms,"Frequency monitoring, upper min. threshold trip. time","Frequency monitoring, upper min. threshold trip. time",UF1_TRIP_T-SS * 1000
UF2_TRIP_F-AS,GridGuard.Cntry.FrqCtl.Min,GridGuard.Cntry.FrqCtl.Min,"Frequency monitoring, lower minimum threshold","Frequency monitoring, lower minimum threshold",UF2_TRIP_F-SS
UF2_TRIP_T-AS,GridGuard.Cntry.FrqCtl.MinTmms,GridGuard.Cntry.FrqCtl.MinTmms,"Frequency monitoring, lower min. threshold trip. Time","Frequency monitoring, lower min. threshold trip. Time",UF2_TRIP_T-SS * 1000
PF_DBOF-AS,Inverter.WCtlHzModCfg.WCtlHzCfg.HzOv[0],Inverter.WCtlHzModCfg.WCtlHzCfg.HzOv[0],"P(f), buckling overfrequency [A]	","P(f), buckling overfrequency [A]	",GridGuard.Cntry.HzRtg + PF_DBOF-SS
PF_DBUF-AS,Inverter.WCtlHzModCfg.WCtlHzCfg.HzUn[0],Inverter.WCtlHzModCfg.WCtlHzCfg.HzUn[0],"P(f), buckling underfrequency [A]	","P(f), buckling underfrequency [A]	",GridGuard.Cntry.HzRtg - PF_DBUF-SS
PF_KOF-AS,Inverter.WCtlHzModCfg.WCtlHzCfg.HzOvGra[0],Inverter.WCtlHzModCfg.WCtlHzCfg.HzOvGra[0],"P(f), active power change per Hz in case of overfrequency [A]","P(f), active power change per Hz in case of overfrequency [A]", -100 / (PF_KOF-SS *60)
PF_KUF-AS,Inverter.WCtlHzModCfg.WCtlHzCfg.HzUnGra[0],Inverter.WCtlHzModCfg.WCtlHzCfg.HzUnGra[0],"P(f), active power change per Hz in case of underfrequency [A]	","P(f), active power change per Hz in case of underfrequency [A]	",  -100 / (PF_KUF-SS * 60)
PF_OLRT-AS,Inverter.WCtlHzModCfg.WTms,Inverter.WCtlHzModCfg.WTms,"P(f), setting time	","P(f), setting time	",PF_OLRT-SS * 1.30435
MC_HVRT_V1-AS,Inverter.DGSModCfg.ZerCurOvVolPu,Inverter.DGSModCfg.ZerCurOvVolPu,"Dynamic grid support, overvoltage threshold for zero current","Dynamic grid support, overvoltage threshold for zero current",MC_HVRT_V1
MC_LVRT_V1-AS,Inverter.DGSModCfg.ZerCurUnVolPu,Inverter.DGSModCfg.ZerCurUnVolPu,"Dynamic grid support, undervoltage threshold for zero current","Dynamic grid support, undervoltage threshold for zero current",MC_LVRT_V1
UI_MODE_ENABLE-AS,GridGuard.Cntry.Aid.HzMon.Stt,GridGuard.Cntry.Aid.HzMon.Stt,"Islanding detection, status of frequency monitor	","Islanding detection, status of frequency monitor	",UI_MODE_ENABLE-SS
